IT specialista;Noční;admin;Neurčeno;PO;312,5;2187,5;ANO
IT specialista;Noční;admin;Neurčeno;ÚT;312,5;2187,5;ANO
IT specialista;Noční;admin;Neurčeno;ST;312,5;2187,5;ANO
IT specialista;Noční;admin;Neurčeno;NE;325;2275;ANO
IT specialista;Noční;admin;Neurčeno;ČT;312,5;2187,5;ANO
IT specialista;Noční;admin;Neurčeno;PÁ;337,5;2362,5;ANO
IT specialista;Noční;admin;Neurčeno;SO;325;2275;ANO
IT specialista;Odpolední;admin;Neurčeno;NE;325;2275;ANO
IT specialista;Odpolední;admin;Neurčeno;SO;325;2275;ANO
IT specialista;Odpolední;admin;Neurčeno;PÁ;337,5;2362,5;ANO
IT specialista;Odpolední;admin;Neurčeno;ST;312,5;2187,5;ANO
IT specialista;Odpolední;admin;Neurčeno;ÚT;312,5;2187,5;ANO
IT specialista;Odpolední;admin;Neurčeno;PO;312,5;2187,5;ANO
IT specialista;Odpolední;admin;Neurčeno;ČT;312,5;2187,5;ANO
Obsluha občerstvení;Odpolední;vasek;Občerstvení;ÚT;162,5;1137,5;ANO
Obsluha občerstvení;Odpolední;vasek;Občerstvení;PO;162,5;1137,5;ANO
Obsluha občerstvení;Odpolední;vasek;Občerstvení;ST;162,5;1137,5;ANO
Obsluha projektoru;Odpolední;lucie;Velký sál;ÚT;137,5;962,5;ANO
Obsluha projektoru;Odpolední;lucie;Velký sál;PO;137,5;962,5;ANO
Obsluha projektoru;Odpolední;lucie;Velký sál;NE;150;1050;ANO
Obsluha projektoru;Odpolední;lucie;Velký sál;SO;150;1050;ANO
Obsluha projektoru;Odpolední;lucie;Velký sál;PÁ;162,5;1137,5;ANO
Obsluha projektoru;Odpolední;lucie;Venkovní zátiší;ST;137,5;962,5;ANO
Obsluha projektoru;Odpolední;ondra;Velký sál;PO;137,5;962,5;ANO
Obsluha projektoru;Odpolední;ondra;Velký sál;ÚT;137,5;962,5;ANO
Obsluha projektoru;Odpolední;ondra;Velký sál;PÁ;162,5;1137,5;ANO
Obsluha projektoru;Odpolední;ondra;Velký sál;SO;150;1050;ANO
Obsluha projektoru;Odpolední;ondra;Velký sál;NE;150;1050;ANO
